site_id,site_name,category,clinic_type,site_number,hours_of_operation,public_health_nursing,family_case_management,healthy_start_program,healthy_families_program,wic,address,zip,phone,phone_additional,fax,community,lat,lon,vintage,rows_updated,provenance,source
row-cs5n~np67~ct9h,Englewood NHC,wic,WIC Clinic,28,"Mon, Wed & Fri: 8:00 a.m. - 4:00 p.m.; Tues & Thurs: 9:00 a.m. - 5:00 p.m.",Y,Y,Y,,Y,641 W. 63rd St.,60621,312-747-4814,312-747-4815; 312-747-1241; 312-745-0606; 312-745-4261,312-745-7654,ENGLEWOOD,41.779692,-87.641428,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-43fj~9v7j.ciyp,Erie Health Center,wic,WIC Clinic,,"Mon, Tues, Thurs & Fri: 8:30 a.m. - 5:00 p.m.; Wed: 10:00 a.m. - 5:00 p.m.",,,,,Y,1701 W. Superior St.,60610,312-432-7372,,312-666-6228,WEST TOWN,41.895006,-87.669813,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-3ras_meb6.ynzq,Erie Health Center,wic,WIC Clinic,12,"Mon, Wed & Fri: 8:00 a.m. - 4:00 p.m.; Tues & Thurs: 10:00 a.m. - 6:00 p.m.",,,,,Y,2418 W. Division St.,60622,312-744-8118,312-744-8119,312-742-3415,WEST TOWN,41.903118,-87.68778,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-3xbr.ff99~gjjs,Friend Family Health Center Inc.,wic,WIC Clinic,23,Mon - Fri: 8:00 a.m. - 4:00 p.m.,,,,,Y,800 E. 55th St.,60615,773-702-3719,773-795-9971; 773-795-6299,773-702-9377,HYDE PARK,41.795075,-87.606097,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-ujyv_gkcv.t86u,Greater Lawn Health Center,wic,WIC Clinic,5,Mon - Fri: 8:00 a.m. - 4:00 p.m.,,Y,,,Y,4150 W. 55th St.,60632,312-747-5415,312-747-5416; 312-745-0062; 312-745-0064; 312-745-0065,312-745-1435,WEST ELSDON,41.793275,-87.727664,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-6ngv-z5b2~p73z,Henry Booth House,wic,WIC Clinic,103,Mon - Fri: 9:00 a.m. - 5:00 p.m.; Sat: 9:00 a.m. - 4:00 p.m.,,,,,Y,2907 S. Wabash,60616,312-225-1982,312-949-2132; 312-949-2156; 312-949-2129,312-265-0643,DOUGLAS,41.841693,-87.625083,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-m7fm~rm7d_fd3t,Lower West Side NHC,wic,WIC Clinic,17,Mon - Fri: 8:00 a.m. - 4:00 p.m.,,Y,,,Y,1713 S. Ashland Ave.,60608,312-743-0600,312-743-0597; 312-743-743-0596,312-743-0599,LOWER WEST SIDE,41.858282,-87.666013,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-d69x-3uch-syub,Uptown NHC,wic,WIC Clinic,1,"Mon, Wed & Fri :8:00 a.m. - 4:00 p.m.; Tues & Thurs: 9:00 a.m. - 5:00 p.m.",Y,Y,,,Y,845 W. Wilson Ave.,60640,312-744-0073,312-744-1365; 312-744-1354; 312-744-1353; 312-742-3661,312-742-1733,UPTOWN,41.965367,-87.65176,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-ubjg~gggy~j8f7,WIC Main Office,wic,WIC Clinic,,Mon - Fri: 8:00 a.m. - 4:00 p.m.,,,,,Y,"333 S. State St., 2nd Floor",60604,312-747-9140,312-747-9142,312-747-8799,LOOP,41.877397,-87.627515,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-w34v_jijr_t68p,Westside Health Partnership,wic,WIC Clinic,121,Mon - Fri: 8:00 a.m. - 4:00 p.m.,,,,,Y,2400 S. Kedzie Ave.,60623,773-542-0288,773-542-0289; 773-542-0311,773-522-2161,SOUTH LAWNDALE,41.84805,-87.705295,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-7943_pcxe~2fsq,Austin STI Specialty Clinic,sti,STI Specialty Clinic,,Mon and Wed: 8:00 a.m. - 4:00 p.m.; Tues: 9:00 a.m. - 5:00 p.m.,,,,,,"4909 W. Division St., Suite 411",60651,312-746-4871,,312-746-4637,AUSTIN,41.902212,-87.748845,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-5hqv.iuvp.rj9v,Englewood STI Specialty Clinic,sti,STI Specialty Clinic,,"Mon, Wed & Fri: 8:00 a.m. - 4:00 p.m.; Tues & Thurs: 9:00 a.m. - 5:00 p.m.",,,,,,"641 W. 63rd St., Lower Level",60621,312-747-8900,,312-747-0292,ENGLEWOOD,41.779692,-87.641428,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-rsmu~aymx.zvdy,Lakeview STI Specialty Clinic,sti,STI Specialty Clinic,,"Mon, Wed & Fri: 8:00 a.m. - 4:00 p.m.; Tues &Thurs: 10:00 a.m. - 6:00 p.m.",,,,,,"2861 N. Clark, 2nd Floor",60657,312-744-5507,,312-744-2573,LAKE VIEW,41.934367,-87.645982,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-64x2.52qx-hzqp,Roseland  STI Specialty Clinic,sti,STI Specialty Clinic,,Mon: 8:00 a.m. - 4:00 p.m.; Thurs: 9:00 a.m. - 5:00 p.m.,,,,,,200 E. 115th St.,60628,312-747-2831,,312-747-2841,ROSELAND,41.685486,-87.61799,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
