site_name,sid,field,cps_value,idph_value,other_value,resolved,confidence,sources,accessed,note
Laura S Ward Elementary School,610133,sponsor,Erie Family Health Centers,Erie Family Health Center,HRSA grantee: ERIE FAMILY HEALTH CENTER,Erie Family Health Centers,high,https://www.eriefamilyhealth.org/locations/,2026-09-12,Operator uses the plural form; IDPH and HRSA carry the older singular.
Ludwig Van Beethoven Elementary School,610237,operational_status,,,,operating,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs"
Ludwig Van Beethoven Elementary School,610237,room_or_entrance,,,,Room 134,medium,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"From the IDPH certified list ('25 West 47th St., Rm 134'). IDPH is stale on this site's provider name but the room number is not contradicted anywhere."
Ludwig Van Beethoven Elementary School,610237,sponsor,Friend Health,Friend Family Health Center,"HRSA grantee: Friend Family Health Center, Inc.",Friend Health,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"Operating name is Friend Health; 'Friend Family Health Center, Inc.' remains the corporate/grantee name. CPS 2025-26 booklet lists 'BEETHOVEN ES Friend Health'."
Marquette Elementary School,610053,operational_status,,,,operating,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs"
Marquette Elementary School,610053,phone,773-584-6200,773-309-4445,CPS booklet and IPHCA: 773-584-6200,773-584-6200,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf; https://www.iphca.org/health-center-locator/,2026-09-12,IDPH number is not published by the operator.
Marquette Elementary School,610053,sponsor,Esperanza Health Centers,Esperanza Clinic,HRSA grantee: ESPERANZA HEALTH CENTERS,Esperanza Health Centers,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf; https://www.iphca.org/health-center-locator/,2026-09-12,IDPH's 'Esperanza Clinic' is not the organisation's name.
Military Leadership Academy,609780,operational_status,,,,operating,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs"
Military Leadership Academy,609780,school_name,MARINE LEADERSHIP AT AMES HS,(center listed as 'Primecare Hamlin'),CPS geojson label 'Military Leadership Academy',Marine Leadership Academy at Ames,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,sbhc.csv carries a stale CPS school label for sid 609780. Both the uploaded CPS sheet and the CPS 2025-26 booklet say Marine Leadership at Ames HS.
Military Leadership Academy,609780,sponsor,PrimeCareHealth Community Health Centers,Primecare Community Health,HRSA grantee: PRIMECARE COMMUNITY HEALTH INC,PrimeCare Community Health,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,CPS sheet value looks like a malformed concatenation. CPS booklet abbreviates 'PCH CHC'; CDPH 2014 names the site 'PrimeCare Ames'.
Mobile Oral Health Unit,,operational_status,,,,unverified,unresolved,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"No current operator page or CPS directory entry checked for this site. HRSA carries hrsa_status='Active' but that field was not independently re-verified, so no status is asserted."
Mobile Oral Health Unit,,setting,not listed,not listed,"HRSA registers both at TCA's main clinic, 1029 E 130th St",mobile,high,https://tcahealth.org/contact-us/,2026-09-12,"TCA: 'The Mobile Student Health Clinic travels to various schools on Chicago's far south side.' No fixed host school exists to resolve; the null is correct, not missing."
"Mobile Student Health Clinic, Parking Lot B",,operational_status,,,,unverified,unresolved,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"No current operator page or CPS directory entry checked for this site. HRSA carries hrsa_status='Active' but that field was not independently re-verified, so no status is asserted."
"Mobile Student Health Clinic, Parking Lot B",,setting,not listed,not listed,"HRSA registers both at TCA's main clinic, 1029 E 130th St",mobile,high,https://tcahealth.org/contact-us/,2026-09-12,"TCA: 'The Mobile Student Health Clinic travels to various schools on Chicago's far south side.' No fixed host school exists to resolve; the null is correct, not missing."
Nathan S Davis Elementary School,609876,access_text,Open to the Community: No Restrictions,,Mile Square: 'open to students and the community',Open to the community,high,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/davis-health-wellness-center,2026-09-12,Confirmed.
Nathan S Davis Elementary School,609876,hours,"Mon, Tue, Wed, Fri: 8:00am-4:30pm, Thur: 10:00am-6:00pm",,"Mile Square: school season M/Tu/W/F 8:30am-4:30pm, Th 10am-6pm; summer (Jun 16-Aug 8) M-F 8am-4:30pm","Mon, Tue, Wed, Fri: 8:30am-4:30pm; Thu: 10:00am-6:00pm",medium,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/davis-health-wellness-center; https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,Operator says 8:30am open in school season; both CPS sources say 8:00am. CPS may be carrying the summer open time. Day pattern agrees.
Nathan S Davis Elementary School,609876,hours_split,"Mon, Tue, Wed, Fri: 8:00am-4:30pm, Thur: 10:00am-6:00pm",,,"school_year: Mon, Tue, Wed, Fri: 8:30am-4:30pm; Thu: 10:00am-6:00pm || summer: Mon-Fri: 8:00am-4:30pm (Jun 16 - Aug 8)",medium,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/davis-health-wellness-center; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,Operator publishes both windows. Both CPS sources give an 8:00am school-year open against the operator's 8:30am; CPS may be carrying the summer open time.
Nathan S Davis Elementary School,609876,operational_status,,,,operating,high,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/davis-health-wellness-center,2026-09-12,Listed on the operator's current site.
Nathan S Davis Elementary School,609876,phone,312-413-3090,773-376-8008,Mile Square and CPS booklet: 312-413-3090,312-413-3090,high,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/davis-health-wellness-center; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,IDPH's number matches the CDPH 2014 snapshot and is stale.
Nathan S Davis Elementary School,609876,room_or_entrance,,,,"Davis Annex, 3050 W 39th Pl",medium,https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/; https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/davis-health-wellness-center,2026-09-12,IDPH names the location an Annex. This is the evidence behind reclassifying the site in_building; flagged because an annex may be a separate structure on the campus.
