name,cpl_location_id,address,zip,phone,email,website,service_hours,community,lat,lon,provenance,source
Brainerd,13,1350 W. 89th St.,60620,(312) 747-6291,brainerd@chipublib.org,https://www.chipublib.org/locations/13/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",AUBURN GRESHAM,41.732445,-87.657729,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Brighton Park,14,4314 S. Archer Ave.,60632,(312) 747-0666,brightonpark@chipublib.org,https://www.chipublib.org/locations/14/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",BRIGHTON PARK,41.81516,-87.702734,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Bucktown-Wicker Park,15,1701 N. Milwaukee Ave.,60647,(312) 744-6022,bucktown-wickerpark@chipublib.org,https://www.chipublib.org/locations/15/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun.,  1-5",WEST TOWN,41.912355,-87.6803,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Budlong Woods,16,5630 N. Lincoln Ave.,60659,(312) 742-9590,budlongwoods@chipublib.org,https://www.chipublib.org/locations/16/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",WEST RIDGE,41.983698,-87.696316,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Canaryville,17,642 W. 43rd St.,60609,(312) 747-0644,canaryville@chipublib.org,https://www.chipublib.org/locations/17/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",NEW CITY,41.816344,-87.642568,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Chicago Bee,18,3647 S. State St.,60609,(312) 747-6872,chicagobee@chipublib.org,https://www.chipublib.org/locations/18/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",DOUGLAS,41.828243,-87.62635,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Chicago Lawn,19,6120 S. Kedzie Ave.,60629,(312) 747-0639,chicagolawn@chipublib.org,https://www.chipublib.org/locations/19/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",CHICAGO LAWN,41.781977,-87.703368,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Chinatown,20,2100 S. Wentworth Ave.,60616,(312) 747-8013,chinatown@chipublib.org,https://www.chipublib.org/locations/20/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",ARMOUR SQUARE,41.854121,-87.631958,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Clearing,21,6423 W. 63rd Pl.,60638,(312) 747-5657,clearing@chipublib.org,https://www.chipublib.org/locations/21/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",CLEARING,41.776653,-87.782188,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Coleman,22,731 E. 63rd St.,60637,(312) 747-7760,coleman@chipublib.org,https://www.chipublib.org/locations/22/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",WOODLAWN,41.780283,-87.607122,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
"Daley, Richard J.",23,3400 S. Halsted St.,60608,(312) 747-8990,daley@chipublib.org,https://www.chipublib.org/locations/23/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",BRIDGEPORT,41.832798,-87.6463,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
"Daley, Richard M.",24,733 N. Kedzie Ave.,60612,(312) 743-0555,richardmdaley@chipublib.org,https://www.chipublib.org/locations/24/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",HUMBOLDT PARK,41.894727,-87.706384,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Douglass,25,3353 W. 13th St.,60623,(312) 747-3725,douglass@chipublib.org,https://www.chipublib.org/locations/25/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",NORTH LAWNDALE,41.864412,-87.710175,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Dunning,26,7455 W. Cornelia Ave.,60634,(312) 743-0480,dunning@chipublib.org,https://www.chipublib.org/locations/26/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",DUNNING,41.943199,-87.813952,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Edgebrook,27,5331 W. Devon Ave.,60646,(312) 744-8313,edgebrook@chipublib.org,https://www.chipublib.org/locations/27/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",FOREST GLEN,41.997213,-87.762118,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Edgewater,28,6000 N. Broadway St.,60660,(312) 742-1945,edgewater@chipublib.org,https://www.chipublib.org/locations/28/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",EDGEWATER,41.990959,-87.660443,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Gage Park,29,2807 W. 55th St.,60632,(312) 747-0032,gagepark@chipublib.org,https://www.chipublib.org/locations/29/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",GAGE PARK,41.793575,-87.69413,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Galewood-Mont Clare,30,6871 W. Belden Ave.,60707,,galewood-montclare@chipublib.org,https://www.chipublib.org/locations/30/,Closed until further notice,MONTCLARE,41.921033,-87.79791,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Garfield Ridge,31,6348 S. Archer Ave.,60638,(312) 747-6094,garfieldridge@chipublib.org,https://www.chipublib.org/locations/31/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",GARFIELD RIDGE,41.792916,-87.780135,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Greater Grand Crossing,32,1000 E. 73rd St.,60619,(312) 745-1608,greatergrandcrossing@chipublib.org,https://www.chipublib.org/locations/32/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",GREATER GRAND CROSSING,41.762395,-87.600512,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Hall,33,4801 S. Michigan Ave.,60615,(312) 747-2541,hall@chipublib.org,https://www.chipublib.org/locations/33/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",GRAND BOULEVARD,41.807378,-87.622637,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Harold Washtington Library Center,34,400 S. State St.,60605,(312) 747-4300,hwlc@chipublib.org,https://www.chipublib.org/locations/34/,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",LOOP,41.876863,-87.627797,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Hegewisch,35,3048 E. 130th St.,60633,(312) 747-0046,hegewisch@chipublib.org,https://www.chipublib.org/locations/35/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",HEGEWISCH,41.659277,-87.54882,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Humboldt Park,36,1605 N. Troy St.,60647,(312) 744-2244,humboldtpark@chipublib.org,https://www.chipublib.org/locations/36/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",HUMBOLDT PARK,41.910332,-87.705519,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Independence,37,4024 N. Elston Ave.,60618,(312) 744-0900,independence@chipublib.org,https://www.chipublib.org/locations/37/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",IRVING PARK,41.954139,-87.720016,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Jefferson Park,38,5363 W. Lawrence Ave.,60630,(312) 744-1998,jeffersonpark@chipublib.org,https://www.chipublib.org/locations/38/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",PORTAGE PARK,41.967508,-87.761767,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Jeffery Manor,39,2401 E. 100th St.,60617,(312) 747-6479,jefferymanor@chipublib.org,https://www.chipublib.org/locations/39/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",SOUTH DEERING,41.713401,-87.565734,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Kelly,40,6151 S. Normal Blvd.,60621,(312) 747-8418,kellylibrary@chipublib.org,https://www.chipublib.org/locations/40/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",ENGLEWOOD,41.782026,-87.637388,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
King,41,3436 S. King Dr.,60616,(312) 747-7543,king@chipublib.org,https://www.chipublib.org/locations/41/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",DOUGLAS,41.831751,-87.617472,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Legler Regional,42,115 S. Pulaski Rd.,60624,(312) 746-7730,legler@chipublib.org,https://www.chipublib.org/locations/42/,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",WEST GARFIELD PARK,41.879345,-87.725476,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Lincoln Belmont,43,1659 W. Melrose St.,60657,(312) 744-0166,lincolnbelmont@chipublib.org,https://www.chipublib.org/locations/43/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",LAKE VIEW,41.940465,-87.671025,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Lincoln Park,44,1150 W. Fullerton Ave.,60614,(312) 744-1926,lincolnpark@chipublib.org,https://www.chipublib.org/locations/44/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",LINCOLN PARK,41.925407,-87.658062,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Little Italy,62,1336 W. Taylor St.,60607,(312) 746-5656,littleitaly@chipublib.org,https://www.chipublib.org/locations/62/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",NEAR WEST SIDE,41.869463,-87.660726,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Little Village,45,2311 S. Kedzie Ave.,60623,(312) 745-1862,littlevillage@chipublib.org,https://www.chipublib.org/locations/45/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",SOUTH LAWNDALE,41.849592,-87.705041,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Logan Square,46,3030 W. Fullerton Ave.,60647,(312) 744-5295,logansquare@chipublib.org,https://www.chipublib.org/locations/46/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",LOGAN SQUARE,41.92486,-87.703519,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Lozano,47,1805 S. Loomis St.,60608,(312) 746-4329,lozano@chipublib.org,https://www.chipublib.org/locations/47/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",LOWER WEST SIDE,41.857601,-87.661164,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Manning,48,6 S. Hoyne Ave.,60612,(312) 746-6800,manning@chipublib.org,https://www.chipublib.org/locations/48/,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",NEAR WEST SIDE,41.881086,-87.679235,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Mayfair,49,4400 W. Lawrence Ave.,60630,(312) 744-1254,mayfair@chipublib.org,https://www.chipublib.org/locations/49/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",ALBANY PARK,41.968243,-87.737969,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
McKinley Park,50,1915 W. 35th St.,60609,(312) 747-6082,mckinleypark@chipublib.org,https://www.chipublib.org/locations/50/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",MCKINLEY PARK,41.830301,-87.673491,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Merlo,51,644 W. Belmont Ave.,60657,(312) 744-1139,merlo@chipublib.org,https://www.chipublib.org/locations/51/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",LAKE VIEW,41.940132,-87.646029,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Mount Greenwood,52,11010 S. Kedzie Ave.,60655,(312) 747-2805,mountgreenwood@chipublib.org,https://www.chipublib.org/locations/52/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",MOUNT GREENWOOD,41.693016,-87.701025,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Near North,53,310 W. Division St.,60610,(312) 744-0991,nearnorth@chipublib.org,https://www.chipublib.org/locations/53/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",NEAR NORTH SIDE,41.903931,-87.636608,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
North Austin,54,5724 W. North Ave.,60639,(312) 746-4233,northaustin@chipublib.org,https://www.chipublib.org/locations/54/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",AUSTIN,41.909445,-87.768983,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
North Pulaski,55,4300 W. North Ave.,60639,(312) 744-9573,northpulaski@chipublib.org,https://www.chipublib.org/locations/55/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",HUMBOLDT PARK,41.909898,-87.733768,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Northtown,56,6800 N. Western Ave.,60645,(312) 744-2292,northtown@chipublib.org,https://www.chipublib.org/locations/56/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",WEST RIDGE,42.005076,-87.690219,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Obama Presidential Center Library,90,6021 S. Stony Island Avenue,60637,(312) 742-2280,obama@chipublib.org,https://www.chipublib.org/locations/90/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",WOODLAWN,41.785264,-87.585776,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Oriole Park,57,7454 W. Balmoral Ave.,60656,(312) 744-1965,oriolepark@chipublib.org,https://www.chipublib.org/locations/57/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun.,  1-5",NORWOOD PARK,41.978098,-87.8142,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Portage-Cragin,58,5108 W. Belmont Ave.,60641,(312) 744-0152,portage-cragin@chipublib.org,https://www.chipublib.org/locations/58/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",PORTAGE PARK,41.938836,-87.754671,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Pullman,59,11001 S. Indiana Ave.,60628,(312) 747-2033,pullman@chipublib.org,https://www.chipublib.org/locations/59/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",ROSELAND,41.694365,-87.618141,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Roden,60,6083 N. Northwest Hwy.,60631,(312) 744-1478,roden@chipublib.org,https://www.chipublib.org/locations/60/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",NORWOOD PARK,41.991998,-87.798206,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Rogers Park,61,6907 N. Clark St.,60626,(312) 744-0156,rogerspark@chipublib.org,https://www.chipublib.org/locations/61/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",ROGERS PARK,42.006822,-87.673308,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Scottsdale,63,4101 W. 79th St.,60652,(312) 747-0193,scottsdale@chipublib.org,https://www.chipublib.org/locations/63/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",ASHBURN,41.749285,-87.724409,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Sherman Park,64,5440 S. Racine Ave.,60609,(312) 747-0477,shermanpark@chipublib.org,https://www.chipublib.org/locations/64/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",NEW CITY,41.794769,-87.655028,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
South Chicago,65,9055 S. Houston Ave.,60617,(312) 747-8065,southchicago@chipublib.org,https://www.chipublib.org/locations/65/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",SOUTH CHICAGO,41.730298,-87.549727,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
South Shore,66,2505 E. 73rd St.,60649,(312) 747-5281,southshore@chipublib.org,https://www.chipublib.org/locations/66/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",SOUTH SHORE,41.762541,-87.563877,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Sulzer Regional Library,67,4455 N. Lincoln Ave.,60625,(312) 744-7616,sulzerregional@chipublib.org,https://www.chipublib.org/locations/67/,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",LINCOLN SQUARE,41.962967,-87.684695,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Thurgood Marshall,68,7506 S. Racine Ave.,60620,(312) 747-5927,thurgoodmarshall@chipublib.org,https://www.chipublib.org/locations/68/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",AUBURN GRESHAM,41.757344,-87.654064,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Toman,69,2708 S. Pulaski Rd.,60623,(312) 745-1660,toman@chipublib.org,https://www.chipublib.org/locations/69/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",SOUTH LAWNDALE,41.842086,-87.72464,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Uptown,70,929 W. Buena Ave.,60613,(312) 744-8400,uptown@chipublib.org,https://www.chipublib.org/locations/70/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",UPTOWN,41.958323,-87.654247,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Vodak-East Side,71,3710 E. 106th St.,60617,(312) 747-5500,vodak-eastside@chipublib.org,https://www.chipublib.org/locations/71/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",ROSELAND,41.702834,-87.61429,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Walker,72,11071 S. Hoyne Ave.,60643,(312) 747-1920,walker@chipublib.org,https://www.chipublib.org/locations/72/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",MORGAN PARK,41.691983,-87.673909,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Water Works,73,163 E. Pearson St.,60611,(312) 742-8811,waterworks@chipublib.org,https://www.chipublib.org/locations/73/,"Mon.- Thurs., 10-6 Fri. & Sat., 9-5; Sun., 1-5",NEAR NORTH SIDE,41.897484,-87.623378,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
West Belmont,74,3104 N. Narragansett Ave.,60611,(312) 746-5142,westbelmont@chipublib.org,https://www.chipublib.org/locations/74/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",BELMONT CRAGIN,41.936652,-87.786024,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
West Chicago Avenue,75,4856 W. Chicago Ave.,60634,(312) 743-0260,westchicago@chipublib.org,https://www.chipublib.org/locations/75/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",AUSTIN,41.895096,-87.748061,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
West Englewood,76,1745 W. 63rd St.,60651,(312) 747-3481,westenglewood@chipublib.org,https://www.chipublib.org/locations/76/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",WEST ENGLEWOOD,41.779282,-87.668433,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
West Lawn,77,4020 W. 63rd St.,60636,(312) 747-7381,westlawn@chipublib.org,https://www.chipublib.org/locations/77/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",WEST LAWN,41.778754,-87.723743,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
