site_name,sid,school_name,idph_center_name,campus_sids,sponsor_cps,sponsor_idph,setting,match_basis,site_address,school_address,zip,community,ward,lat,lon,idph_certified,cps_listed,hrsa_scope,hrsa_site_num,hrsa_site_name,hrsa_grantee,hrsa_setting_desc,hrsa_site_type,hrsa_status,hrsa_sbhc_subprogram,access_text,open_to_public,hours,phone,coord_basis,cps_status_2025,cps_adjusted_su,cps_colo,manually_verified,review_note,source
Joyce Kilmer International Academy,610022,Joyce Kilmer International Academy,Kilmer School Health Center,,Tapestry 360 Health,Heartland Health Center,in_building,cps_school_id+cps_directory_address,"6700 N Greenview Ave, Chicago, IL 60626",6700 N GREENVIEW AVE,60626,ROGERS PARK,49,42.003916,-87.668498,true,true,true,BPS-H80-018675,Tapestry 360 Health - Kilmer,TAPESTRY 360 HEALTH,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Tue, Thur, Fri: 8:00 am-4:00 pm",773-366-7704,hrsa_site,Efficient,0.87,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Lake View High School,609719,Lake View High School,Lakeview SHC,,Erie Family Health Centers,Erie Family Health Center,in_building,cps_school_id+cps_directory_address,"4015 N Ashland Ave, Chicago, IL 60613",4015 N ASHLAND AVE,60613,LAKE VIEW,47,41.955254,-87.668605,true,true,true,BPS-H80-010649,Erie Lake View School Based Health Center,ERIE FAMILY HEALTH CENTER,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Mon, Tue, Thur, Fri:  8:00am-4:30pm, Wed: 10:00am-4:30pm",312-666-3494,hrsa_site,Efficient,1.05,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Laura S Ward Elementary School,610133,Laura S Ward Elementary School,Westside SHC,,Erie Family Health Centers,Erie Family Health Center,in_building,cps_school_id+cps_directory_address,"646 N Lawndale Ave, Chicago, IL 60624",646 N LAWNDALE AVE,60624,HUMBOLDT PARK,27,41.893241,-87.718975,true,true,true,BPS-H80-005301,Erie Westside Health Center at Laura S. Ward Elementary,ERIE FAMILY HEALTH CENTER,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,"Mon,Tue,Thur, Fri: 8:00am-4:30pm, Wed:10:00am-4:30pm",312-666-3494,hrsa_site,Underutilized,0.32,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Ludwig Van Beethoven Elementary School,610237,Ludwig Van Beethoven Elementary School,Beethoven SHC,,Friend Health,Friend Family Health Center,in_building,cps_school_id+cps_directory_address,"25 W 47th St, Chicago, IL 60609",25 W 47TH ST,60609,GRAND BOULEVARD,3,41.808268,-87.62714,true,true,true,BPS-H80-006732,FFHC-Beethoven,"Friend Family Health Center, Inc.",School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Thur & Fri: 8am-5pm,312-682-6110,hrsa_site,Underutilized,0.36,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Marquette Elementary School,610053,Marquette Elementary School,Marquette Elementary SHC,,Esperanza Health Centers,Esperanza Clinic,in_building,cps_school_id+cps_directory_address,"6550 S Richmond St, Chicago, IL 60629",6550 S RICHMOND ST,60629,CHICAGO LAWN,15,41.774215,-87.697714,true,true,true,BPS-H80-012783,Esperanza Marquette,ESPERANZA HEALTH CENTERS,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,"Mon: 7:30am-5:00pm, Tue: 7:30am-5:00pm, Wed: 7:30am-5:00pm , Thur (1st & 3rd of the month): 11:30am-6:30pm, Thur (2nd, 4th, & 5th of the month): 7:30am-5:00pm, Fri: 7:30am-1:00pm, Sat (rotating): 7:30am-3:30pm",773-584-6200,hrsa_site,Underutilized,0.69,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Military Leadership Academy,609780,Military Leadership Academy,Primecare Hamlin,,PrimeCareHealth Community Health Centers,Primecare Community Health,in_building,cps_school_id+cps_directory_address,"1920 N Hamlin Ave, Chicago, IL 60647",1920 N HAMLIN AVE,60647,LOGAN SQUARE,26,41.915982,-87.722486,true,true,true,BPS-H80-012113,PrimeCare Hamlin,PRIMECARE COMMUNITY HEALTH INC,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 9:00am-5:00pm,773-772-7202,hrsa_site,Underutilized,0.58,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Mobile Oral Health Unit,,,,,,,mobile,hrsa_site_name_mobile,"1029 E 130th St, Chicago, IL 60628",,60628,,,41.659629,-87.595557,false,false,true,BPS-H80-037644,Mobile Oral Health Unit,"TCA HEALTH, INC. NFP",School,Service Delivery Site,Active,N,,,,,hrsa_site,,,,false,"No CPS school building at this address; the host school, if any, is unresolved; HRSA registers this mobile unit at its sponsor's address; it is not a fixed site in any school",hrsa_il_school_setting@2026-09-11
"Mobile Student Health Clinic, Parking Lot B",,,,,,,mobile,hrsa_site_name_mobile,"1029 E 130th St, Chicago, IL 60628",,60628,,,41.659629,-87.595557,false,false,true,BPS-H80-024735,"Mobile Student Health Clinic, Parking Lot B","TCA HEALTH, INC. NFP",School,Service Delivery Site,Active,N,,,,,hrsa_site,,,,false,"No CPS school building at this address; the host school, if any, is unresolved; HRSA registers this mobile unit at its sponsor's address; it is not a fixed site in any school",hrsa_il_school_setting@2026-09-11
Nathan S Davis Elementary School,609876,Nathan S Davis Elementary School,Davis Elementary SHC,,UI Health,"Board of Trustees, U of I at Chicago",school_linked,cps_school_id+cps_directory_address,"3050 W. 39th Place, Chicago, IL 60632",3014 W 39TH PL,60632,BRIGHTON PARK,12,41.822203,-87.701646,true,true,true,BPS-H80-011549,"UNIVERSITY OF ILLINOIS MEDICAL CENTER, MILE SQUARE HEALTH CENTER, Davis Health and Wellness Center",University of Illinois,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,"Mon, Tue, Wed, Fri: 8:00am-4:30pm, Thur: 10:00am-6:00pm",312-413-3090,hrsa_site,Underutilized,0.57,0,false,Center address differs from the school's building address in the CPS school file,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
National Teachers Elementary Academy,610231,National Teachers Elementary Academy,National Teacher's Academy SHC,,UI Health,"Board of Trustees, U of I at Chicago",in_building,cps_school_id+cps_directory_address,"55 W Cermak Rd, Chicago, IL 60616",55 W CERMAK RD,60616,NEAR SOUTH SIDE,3,41.851903,-87.62876,true,true,true,BPS-H80-005757,"UNIVERSITY OF ILLINOIS MEDICAL CENTER - MILE SQUARE HEALTH CENTER, NATIONAL TEACHERS ACADEMY HEALTH AND WELLNESS CENTER",University of Illinois,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:30am-4:30pm,312-413-3880,hrsa_site,Underutilized,0.64,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Nicholas Senn High School,609730,Nicholas Senn High School,Senn SHC,,Tapestry 360 Health,Heartland Health Center,in_building,cps_school_id+cps_directory_address,"5900 N Glenwood Ave, Chicago, IL 60660",5900 N GLENWOOD AVE,60660,EDGEWATER,48,41.989015,-87.666682,true,true,true,BPS-H80-003767,Tapestry 360 Health - Senn High School,TAPESTRY 360 HEALTH,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Mon, Tue, Thur: 8:00 am-4:00 pm",773-751-1860,hrsa_site,Underutilized,0.67,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Noble - Gary Comer College Prep,400052,Noble - Gary Comer College Prep,Comer Youth Center,,ACCESS Community Health Center,Access Community Health Network,school_linked,cps_school_id+cps_directory_address,"7200 S. Ingleside Ave, Chicago, IL 60619",7131 S SOUTH CHICAGO AVE,60619,GREATER GRAND CROSSING,5,,,true,true,false,,,,,,,,Open to CPS Students Only,false,"Mon, Wed, Fri: 8:30am-5:00pm, Tue & Thur: 9:30am-6:00pm (open hours) scheduling hours vary",773-324-6942,,Efficient,0.74,1,false,Center address differs from the school's building address in the CPS school file; No coordinate for the center's own address; needs geocoding before it can be mapped,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11
Noble Mansueto High School,400179,Noble Mansueto High School,,,Esperanza Health Centers,,school_linked,cps_offsite_override,"4700 S California Ave, Chicago, IL, 60632",2911 W 47TH ST,60632,BRIGHTON PARK,14,41.80819121,-87.69479705,false,true,false,,,,,,,,Open to the Community: No Restrictions,true,"Mon: 7:15am-5:45pm, Tue, Wed: 7:15am-6:00pm, Thur (1st & 3rd of the month): 11:30am-6:45pm, Thur (2nd, 4th, & 5th of the month): 7:15am-5:45pm, Fri: 7:15am-4:00pm, Sat: 7:30am-4:00pm",,cps_offsite_override,,,0,false,CPS supplies an off-site coordinate override for this center: it is affiliated with the school but not in it,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11
Orozco Fine Arts & Sciences Elementary School,610329,Orozco Fine Arts & Sciences Elementary School,Orozco SHC,,Alivio Medical Center,Alivio Medical Center,in_building,cps_school_id+cps_directory_address,"1940 W 18th St, Chicago, IL 60608",1940 W 18TH ST,60608,LOWER WEST SIDE,25,41.857976,-87.675125,true,true,true,BPS-H80-010185,Jose Clemente Orozco Academy,"ALIVIO MEDICAL CENTER, INC",School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:30am-4:15pm,773-254-1400,hrsa_site,Underutilized,0.39,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Orr Academy High School,610389,Orr Academy High School,Orr Adolescent SHC,400180;610389,Rush University Medical Center,Rush University Medical Center,in_building,cps_school_id+cps_directory_address,"730 N Pulaski Rd. Room 109, Chicago, IL 60624",730 N PULASKI RD,60624,HUMBOLDT PARK,37,41.894547,-87.72666,true,true,false,,,,,,,,Open to Enrolled Students at the School (Orr Academy & KIPP One),false,"Mon-Thur: 9:00am-3:30pm, Fri: 9:00am-1:00pm",773-534-8924,cps_school_building,Efficient,0.71,1,false,"2 CPS schools share this building; a center here is a campus asset, not one school's",cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11
Paul Laurence Dunbar Career Academy High School,609676,Paul Laurence Dunbar Career Academy High School,Dunbar SHC,,Rush University Medical Center,Mercy Hospital and Medical Center,in_building,cps_school_id+cps_directory_address,"3000 S King Dr, Chicago, IL 60616",3000 S KING DR,60616,DOUGLAS,4,41.840226,-87.617637,true,true,false,,,,,,,,Open to Enrolled Students at the School,false,Tuesday: 10:00am-3:00pm,773-534-0904,cps_school_building,Underutilized,0.22,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11
Richard T Crane Medical Preparatory HS,610561,Richard T Crane Medical Preparatory HS,Crane Adolescent SHC,,Rush University Medical Center,Rush University Medical Center,in_building,cps_school_id+cps_directory_address,"2245 W Jackson Blvd. Room 110 , Chicago, IL 60612",2245 W JACKSON BLVD,60612,NEAR WEST SIDE,27,41.876947,-87.683301,true,true,false,,,,,,,,Open to Enrolled Students at the School,false,"Mon-Thur: 9am-3:30pm, Fri: 9:00am-1:00pm",773-534-7582,cps_school_building,Underutilized,0.17,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11
Roald Amundsen High School,609695,Roald Amundsen High School,Amundsen High SHC,,Erie Family Health Centers,Erie Family Health Center,in_building,cps_school_id+cps_directory_address,"5110 N Damen Ave, Chicago, IL 60625",5110 N DAMEN AVE,60625,LINCOLN SQUARE,40,41.974625,-87.680317,true,true,true,BPS-H80-010610,Erie Amundsen School Based Health Center,ERIE FAMILY HEALTH CENTER,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Monday, Tuesday, Thursday, Friday, 8:00am-4:30pm Wednesday 10am-4:30pm",312-432-2000,hrsa_site,Overcrowded,1.47,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Roberto Clemente Community Academy High School,609759,Roberto Clemente Community Academy High School,Clemente SHC,,Erie Family Health Centers,Erie Family Health Center,in_building,cps_school_id+cps_directory_address,"1147 N Western Ave, Chicago, IL 60622",1147 N WESTERN AVE,60622,WEST TOWN,1,41.902489,-87.686151,true,true,true,BPS-H80-008136,Erie Clemente Wildcats Student Health Center,ERIE FAMILY HEALTH CENTER,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,Mon-Fri: 8:00am-4:00pm,312-432-7475,hrsa_site,Underutilized,0.35,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Roger C Sullivan High School,609733,Roger C Sullivan High School,Sullivan SHC,,Tapestry 360 Health,Heartland Health Center,in_building,cps_school_id+cps_directory_address,"6631 N Bosworth Ave, Chicago, IL 60626",6631 N BOSWORTH AVE,60626,ROGERS PARK,49,42.002811,-87.668935,true,true,true,BPS-H80-018538,Tapestry 360 Health - Sullivan,TAPESTRY 360 HEALTH,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Mon, Wed, Fri: 8:00 am-4:00 pm",312-517-2590,hrsa_site,Efficient,0.8,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Simpson Academy HS for Young Women,609750,Simpson Academy HS for Young Women,Simpson SHC,,Rush University Medical Center,Rush University Medical Center,in_building,cps_school_id+cps_directory_address,"1321 S Paulina St, Chicago, IL 60608",1321 S PAULINA ST,60608,NEAR WEST SIDE,28,41.864365,-87.668722,true,true,false,,,,,,,,Open to CPS Students & Family Members Only,false,"Mon-Thur: 9:00am-3:30pm, Fri: 9:00am-1:00pm",773-534-7202,cps_school_building,,,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11
Stephen F Gale Elementary Community Academy,609933,Stephen F Gale Elementary Community Academy,Gale SHC,,Tapestry 360 Health,Heartland Health Center,in_building,cps_school_id+cps_directory_address,"1631 W Jonquil Terrace, Chicago, IL 60626",1631 W JONQUIL TER,60626,ROGERS PARK,49,42.020737,-87.671492,true,true,true,BPS-H80-024732,Tapestry 360 Health - Gale,TAPESTRY 360 HEALTH,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Tue, Wed, Fri: 8:00 am-4:00 pm",773-366-7710,hrsa_site,Underutilized,0.32,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Theodore Roosevelt High School,609728,Theodore Roosevelt High School,Roosevelt SHC,,Tapestry 360 Health,Heartland Health Center,in_building,cps_school_id+cps_directory_address,"3436 W Wilson Ave, Chicago, IL 60625",3436 W WILSON AVE,60625,ALBANY PARK,33,41.965021,-87.715175,true,true,true,BPS-H80-002243,Tapestry 360 Health - Roosevelt High School,TAPESTRY 360 HEALTH,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Mon, Tue, Thur: 8:00am-4:00pm
Thur: 8:00am-4:00pm",872-268-7545,hrsa_site,Efficient,0.78,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Uplift Community High School,610394,Uplift Community High School,Uplift SHC,,,Heartland Health Center,in_building,address_identity,"900 W. Wilson Ave., Chicago, IL 60640",900 W WILSON AVE,60640,UPTOWN,46,41.965547,-87.652473,true,false,false,,,,,,,,,,,773-534-2850,cps_school_building,Underutilized,0.18,0,false,,cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11
Wendell Phillips Academy High School,609727,Wendell Phillips Academy High School,Phillips SHC,,Rush University Medical Center,Mercy Hospital and Medical Center,in_building,cps_school_id+cps_directory_address,"244 E Pershing Rd, Chicago, IL 60653",244 E PERSHING RD,60653,DOUGLAS,3,41.82388,-87.619796,true,true,false,,,,,,,,Open to Enrolled Students at the School,false,"Mon-Thu 9:00am-3:00pm, Fri 9:00am-1:00pm",773-535-1837,cps_school_building,Underutilized,0.25,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11
William C Reavis Math & Science Specialty ES,610143,William C Reavis Math & Science Specialty ES,Reavis SHC,,,Near North/Komed-Homan Health Center,in_building,address_identity,"834 E. 50th St., Chicago, IL 60615",834 E 50TH ST,60615,KENWOOD,4,41.804174,-87.604925,true,false,false,,,,,,,,,,,773-358-6767,cps_school_building,Underutilized,0.38,0,false,,cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11
William G Hibbard Elementary School,609994,William G Hibbard Elementary School,Hibbard SHC,,Tapestry 360 Health,Heartland Health Center,in_building,cps_school_id+school_name,"3244 W Ainslie St, Chicago, IL 60625",3244 W AINSLIE ST,60625,ALBANY PARK,33,41.97085,-87.710382,true,true,true,BPS-H80-008675,Tapestry 360 Health - Hibbard,TAPESTRY 360 HEALTH,School,Service Delivery Site,Active,N,Open to Enrolled Students at School and Tapestry 360 Health Patients (Dental),false,"Mon, Wed, Thur: 8:00am-4:00pm 
Mon: 8:00am-2:30pm, Wed:8:00am-2:00pm",773-336-6100,hrsa_site,Efficient,0.73,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Wilma Rudolph Elementary Learning Center,610308,Wilma Rudolph Elementary Learning Center,Hope Health & Wellness SHC,,,"Board of Trustees, U of I at Chicago",in_building,address_identity,"1628 W. Washington Blvd., Chicago, IL 60612",1628 W WASHINGTON BLVD,60612,NEAR WEST SIDE,27,41.883907,-87.668091,true,false,false,,,,,,,,,,,312-226-3288,cps_school_building,,,0,false,,cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11
